problem,click_depth,filter_depth,iterative_distance,number_filters,query_frequency,relevant_new_info,number_measures,consideration_time,elapsed_time,number_cells,rqp,iterative_precision,click_per_query,view_area_increase,execution_time,number_aggregations,aggregation_depth,iterative_recall,number_queries,expected
dibstudent03--2016-09-24--23-01.log-14,2.563186867,-0.3753098313,-0.7047755645,-0.488242589,0.0004101087,0.2134933391,2.2370719425,-0.248718728,-0.7145830473,-0.0849678655,-0.3302307039,0.9372741394,0.3618803812,-0.1444585767,-0.0772533795,-0.2836421386,-0.5173876397,0.956849521,-0.6241192617,1
dibstudent03--2016-09-24--23-01.log-15,2.3276368308,-0.3753098313,-0.7047755645,-0.488242589,-0.0020469548,0.2134933391,2.2370719425,-0.3559489708,-0.699288603,-0.0849678655,-0.2340582533,0.9372741394,0.3618803812,-0.1444585767,-0.1405454272,-0.2836421386,-0.5173876397,0.956849521,-0.5750179359,1
dibstudent03--2016-09-24--23-01.log-16,2.0920867946,-0.3753098313,-0.7047755645,-0.488242589,0.0172506483,0.2134933391,2.2370719425,-0.4033118858,-0.6932975048,-0.0849678655,-0.1378858027,0.9372741394,0.3618803812,-0.1444585767,-0.1405454272,-0.2836421386,-0.5173876397,0.956849521,-0.5259166101,1
dibstudent03--2016-09-24--23-01.log-17,1.8565367584,-0.3753098313,-0.7047755645,-0.488242589,0.045628174,0.2134933391,2.2370719425,-0.095980869,-0.691396005,-0.0849678655,-0.0417133521,0.9372741394,0.3618803812,-0.1444585767,-0.1344984162,-0.2836421386,-0.5173876397,0.956849521,-0.4768152843,1
dibstudent03--2016-09-24--23-01.log-18,1.6209867222,-0.3753098313,-0.2094252255,-0.488242589,0.0103019586,1.7358661716,3.4108918756,-0.255777914,-0.6623395709,-0.0403337987,0.0544590985,0.4385530514,1.6677965397,1.1939229031,0.0166768569,-0.2836421386,-0.5173876397,0.956849521,-0.4277139585,1
dibstudent03--2016-09-24--23-01.log-19,1.3854366861,-0.3753098313,-0.7047755645,-0.488242589,0.0088918287,1.7358661716,3.4108918756,-0.4075504142,-0.6476170161,-0.0403337987,0.1506315492,0.9372741394,1.6677965397,-0.1444585767,-0.1280482712,-0.2836421386,-0.5173876397,0.956849521,-0.3786126327,1
dibstudent03--2016-09-24--23-01.log-2,-0.7345136397,-0.3753098313,-0.7047755645,-0.488242589,1.9419995471,0.9514106203,2.2370719425,-0.2562455097,-0.9191454213,-0.199032703,-1.4843001113,0.9372741394,-0.6175567376,-0.1444585767,-0.1594927281,-1.275846248,-1.3893855276,0.956849521,-1.2133351713,0
dibstudent03--2016-09-24--23-01.log-20,1.1498866499,-0.3753098313,-0.2094252255,-0.488242589,0.0335797835,0.2134933391,2.2370719425,-0.0658134073,-0.6461238218,-0.0849678655,0.2468039998,0.9372741394,-0.291077698,-0.1444585767,-0.1469955721,-0.2836421386,-0.5173876397,0.462107829,-0.3295113069,1
dibstudent03--2016-09-24--23-01.log-21,0.9143366137,-0.3753098313,-0.7047755645,-0.488242589,0.0008826499,0.2134933391,2.2370719425,-0.3995409531,-0.615002304,-0.0849678655,0.3429764504,0.9372741394,-0.291077698,-0.1444585767,-0.1534457171,-0.2836421386,-0.5173876397,0.956849521,-0.2804099811,1
dibstudent03--2016-09-24--23-01.log-22,0.6787865775,-0.3753098313,-0.7047755645,-0.488242589,0.0216884455,0.2134933391,2.2370719425,-0.350051232,-0.6127526976,-0.0849678655,0.439148901,0.9372741394,-0.291077698,-0.1444585767,-0.1280482712,-0.2836421386,-0.5173876397,0.956849521,-0.2313086553,1
